ID,game_ID,player_ID,positionPlayed_code,outsPlayed,involvedInPlays,completedPlays,errors,passedBalls,stolenBasesAllowed,caughtStealing,notes
"9f9ddd14-a7ef-4a81-a43e-ea0ca7f40e10","4ac602d8-2086-4ad2-be16-326eba2757d6","7e6bfd1a-164f-4266-ad06-4f68294aaede",2,6,0,0,1,0,0,0,""
"945b4f2f-1678-403a-94a7-25c4f3717085","4ac602d8-2086-4ad2-be16-326eba2757d6","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",7,15,2,2,0,0,0,0,""
"b5599327-434e-4b1a-aeff-972450b72087","4ac602d8-2086-4ad2-be16-326eba2757d6","def89156-47ec-42b2-9814-ab47819fe33d",9,6,0,0,1,0,0,0,""
"9b67d7d6-692c-47ab-9eec-6047c4cb5031","4ac602d8-2086-4ad2-be16-326eba2757d6","c8e579c1-5c17-4811-a7c6-2504630d22d6",1,2,0,0,0,0,0,0,""
"4ae3375d-e04d-4f1b-9033-8e7d8496a333","4ac602d8-2086-4ad2-be16-326eba2757d6","c8e579c1-5c17-4811-a7c6-2504630d22d6",3,9,1,0,1,0,0,0,""
"7ec8c493-6966-472e-899a-95ff85774d19","4ac602d8-2086-4ad2-be16-326eba2757d6","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",2,9,0,0,0,0,0,0,""
"ba845c94-9296-4316-a4dc-99cfb390f687","4ac602d8-2086-4ad2-be16-326eba2757d6","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",3,11,0,0,0,0,0,0,""
"66a59c51-eeb8-403d-9951-a0dc7066509b","6d8b7108-7b84-4a9b-a587-315bead8bccc","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",2,0,0,0,0,0,5,0,""
"5a4885f4-a38d-4ae1-9289-83fd1df8d0c9","6d8b7108-7b84-4a9b-a587-315bead8bccc","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",2,0,0,0,0,0,1,0,""
"427e427a-e4b3-4b5d-8716-c41f54c6d64b","6d8b7108-7b84-4a9b-a587-315bead8bccc","dabe745e-5cf0-4738-915e-3ac125dec269",7,0,0,0,0,0,0,0,""
"c96b0024-319f-4fa5-b839-2ceac95d4d89","6d8b7108-7b84-4a9b-a587-315bead8bccc","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",6,0,0,0,0,0,0,0,""
"9f6abeab-b5af-445b-a006-1b425460e97e","6d8b7108-7b84-4a9b-a587-315bead8bccc","c3d7614c-0a42-415c-8055-f1f46f1577ad",8,0,0,0,0,0,0,0,""
"1dd49837-e5af-476f-899d-0ff8f9f16460","6d8b7108-7b84-4a9b-a587-315bead8bccc","88d4a086-36ee-4724-80c6-1d89d576e875",5,0,0,0,0,0,0,0,""
"87c6fb73-414e-4f34-a545-0dbb851e7816","6d8b7108-7b84-4a9b-a587-315bead8bccc","b6466032-b94f-42ef-a35b-6bfc334dc1d5",4,0,0,0,0,0,0,0,""
"75722f1b-2b05-4d4b-a725-ac27cfa19a5c","6d8b7108-7b84-4a9b-a587-315bead8bccc","60449151-ce4f-42f4-a0da-6e3ce3fc8253","DH",0,0,0,0,0,0,0,""
"79c46f4e-fc13-499a-94b8-ed4535127c22","6d8b7108-7b84-4a9b-a587-315bead8bccc","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",2,0,0,0,0,0,0,0,""
"afffb9d9-d87c-4789-ac23-b4b00daffc6f","6d8b7108-7b84-4a9b-a587-315bead8bccc","c8e579c1-5c17-4811-a7c6-2504630d22d6",1,0,0,0,0,0,0,0,""
"55b6f4e2-3061-4b8d-b95a-c7a0207adb74","6d8b7108-7b84-4a9b-a587-315bead8bccc","7e6bfd1a-164f-4266-ad06-4f68294aaede",3,0,0,0,0,0,0,0,""
"dc1dff6d-5899-4106-81ef-a68c869f2aba","6d8b7108-7b84-4a9b-a587-315bead8bccc","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",9,0,0,0,0,0,0,0,""
"90159c26-4894-4f12-b026-eeff6a7b73e8","6d8b7108-7b84-4a9b-a587-315bead8bccc","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",2,0,0,0,0,0,0,0,""
"660d7f48-64ae-4ef3-a301-c81e4ad97044","6d8b7108-7b84-4a9b-a587-315bead8bccc","def89156-47ec-42b2-9814-ab47819fe33d",1,0,0,0,0,0,0,0,""
"9a7a6e21-46b0-4d77-a367-8d195a699f06","c548fbaa-424f-41e0-8293-864e3d530adf","7e6bfd1a-164f-4266-ad06-4f68294aaede",2,0,0,0,0,0,3,0,""
"2aac3941-b432-443d-bbd2-852a64b8be7d","c548fbaa-424f-41e0-8293-864e3d530adf","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",2,0,0,0,0,0,1,0,""
"1f23f8c1-9a5a-47b3-a2d1-59765e9d1dd6","c548fbaa-424f-41e0-8293-864e3d530adf","c8e579c1-5c17-4811-a7c6-2504630d22d6",9,0,0,0,0,0,0,0,""
"3010c479-969d-4c2f-9fd3-aaac615b62a5","c548fbaa-424f-41e0-8293-864e3d530adf","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",6,0,0,0,0,0,0,0,""
"daabccbb-7789-4ff6-897b-2a1acd3fc708","c548fbaa-424f-41e0-8293-864e3d530adf","c3d7614c-0a42-415c-8055-f1f46f1577ad",8,0,0,0,0,0,0,0,""
"47aa2790-af7d-4148-97ec-f34602c3c6c1","c548fbaa-424f-41e0-8293-864e3d530adf","88d4a086-36ee-4724-80c6-1d89d576e875",5,0,0,0,0,0,0,0,""
"60cab1b4-b4a9-4132-9225-3fd6422e6929","c548fbaa-424f-41e0-8293-864e3d530adf","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",3,0,0,0,0,0,0,0,""
"4205856e-3327-43dd-8429-5b06dffaafdb","c548fbaa-424f-41e0-8293-864e3d530adf","7e6bfd1a-164f-4266-ad06-4f68294aaede",2,0,0,0,0,0,0,0,""
"4d208e21-0267-4be6-83b7-2c4ac8afb2b2","c548fbaa-424f-41e0-8293-864e3d530adf","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",1,0,0,0,0,0,0,0,""
"c7c8f532-70ad-44e3-b739-481d1b71121f","c548fbaa-424f-41e0-8293-864e3d530adf","dabe745e-5cf0-4738-915e-3ac125dec269",4,0,0,0,0,0,0,0,""
"1dcf8cb8-d0c6-4341-a714-b507748780ae","c548fbaa-424f-41e0-8293-864e3d530adf","def89156-47ec-42b2-9814-ab47819fe33d",7,0,0,0,0,0,0,0,""
"9b6809e9-ccca-4632-a4a7-7886875d3fee","c548fbaa-424f-41e0-8293-864e3d530adf","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",9,0,0,0,0,0,0,0,""
"17b6e12a-176a-45d4-928e-0c0083948bb4","c548fbaa-424f-41e0-8293-864e3d530adf","60449151-ce4f-42f4-a0da-6e3ce3fc8253",1,0,0,0,0,0,0,0,""
"39f0eb72-fe07-4a49-95da-3910d53894b7","c548fbaa-424f-41e0-8293-864e3d530adf","b6466032-b94f-42ef-a35b-6bfc334dc1d5",5,0,0,0,0,0,0,0,""
"0f99897a-ee56-47c3-8e6a-e6cea13836c6","c548fbaa-424f-41e0-8293-864e3d530adf","88d4a086-36ee-4724-80c6-1d89d576e875",1,0,0,0,0,0,0,0,""
"e3d0598d-27b8-41ad-aeaa-22044a1c8fe4","c548fbaa-424f-41e0-8293-864e3d530adf","60449151-ce4f-42f4-a0da-6e3ce3fc8253",5,0,0,0,0,0,0,0,""
